"(2, 5)",[ 7.199198    0.28804507  0.42514385  0.00780436  0.03488854  2.04769614],51603,"[  9.90631486e-01   9.87271377e-04   1.13234246e-03   7.45984070e-04
   7.66464532e-04   5.73645112e-03]",N,"['N', 'poke', 'W', 'E', 'stay', 'S']"
"(3, 6)",[ 5.90645867  0.204018    0.65439078  0.48821252  0.24304165  2.50701687],55500,[ 0.95249711  0.00317925  0.00498792  0.00422425  0.00330577  0.03180569],N,"['N', 'poke', 'W', 'S', 'stay', 'E']"
"(0, 0)",[ 1.73198181  2.69848119  0.10213244  0.81610884  0.29591879  4.35634372],55202,[ 0.05476906  0.14397287  0.0107325   0.02191678  0.0130275   0.7555813 ],poke,"['poke', 'E', 'N', 'S', 'stay', 'W']"
"(4, 2)",[ 0.02504437  1.98861046  4.56191631  1.97299096  0.00796033  1.44424219],54902,[ 0.00879863  0.06268753  0.82177644  0.06171599  0.00864959  0.03637182],W,"['W', 'E', 'S', 'poke', 'N', 'stay']"
"(6, 3)",[ 0.47738217  0.01262009  6.91149365  0.26173607  0.27103561  2.06780247],55806,[ 0.00158508  0.00099588  0.98707578  0.00127761  0.00128954  0.00777611],W,"['W', 'poke', 'N', 'stay', 'S', 'E']"
"(2, 6)",[ 2.9400213   0.1477575   3.01908191  0.63147805  0.94986149  2.31491876],35400,[ 0.3430722   0.02102426  0.37129672  0.03410342  0.04688891  0.18361449],W,"['W', 'N', 'poke', 'stay', 'S', 'E']"
"(3, 5)",[ 8.91415877  0.01398398  0.26484306  0.21472101  0.03545602  0.55907725],56113,"[  9.99147912e-01   1.36248893e-04   1.75097400e-04   1.66537473e-04
   1.39206070e-04   2.34997902e-04]",N,"['N', 'poke', 'W', 'S', 'stay', 'E']"
"(4, 5)",[ 2.8881428   0.07113115  5.56259428  0.07424719  0.44647104  0.96043957],49202,[ 0.06306505  0.0037703   0.91472014  0.00378207  0.00548762  0.00917483],W,"['W', 'N', 'poke', 'stay', 'S', 'E']"
"(4, 6)",[ 3.73384454  0.29186736  2.18909397  1.37201035  0.14578627  2.26904027],49201,[ 0.62563     0.020021    0.1334876   0.05896387  0.0172999   0.14459762],N,"['N', 'poke', 'W', 'S', 'E', 'stay']"
"(2, 0)",[ 0.47413641  1.01126709  0.10643343  3.40220303  2.38955     2.61763704],55208,[ 0.02672806  0.04573412  0.01850445  0.49958645  0.18147677  0.22797015],S,"['S', 'poke', 'stay', 'E', 'N', 'W']"
"(5, 5)",[ 0.27246954  1.14700005  2.67837484  0.01962866  1.63286891  4.25178357],44704,[ 0.01376635  0.03300826  0.15264769  0.01069083  0.05365779  0.73622908],poke,"['poke', 'W', 'stay', 'E', 'N', 'S']"
"(2, 1)","[  3.60129047e-03   2.95253267e-02   1.82278190e-01   4.49713024e+00
   2.34013624e-01   5.05434530e+00]",55214,[ 0.0039991   0.00410413  0.00478146  0.35766575  0.00503535  0.62441421],poke,"['poke', 'S', 'stay', 'W', 'E', 'N']"
